Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,Age dependency ratio (% of working-age population),SP.POP.DPND,83.50078968,83.18781593,83.19974144,82.90160387,82.23906779,81.21897833,79.93141539,78.29798706,76.5346711,74.95281906,73.41783294,71.85600748,69.92146899,67.54346354,65.03450362,62.63259402,60.24563333,58.03208721,56.3120316,54.99562555,54.14149916,54.08504774,54.09555897,53.67519305,53.16721562,52.36182329,51.28307281,50.17359088,49.2898914,49.05851948,49.9577828,52.01146851,52.58467023,51.18042788,49.69244024,47.96159386,46.24251911,45.00460568,44.1768647,43.63807729,43.21465884,42.91725105,42.71431015,42.45693298,42.17101863,42.13249895,42.41282231,42.78253942,43.17899566,43.5732685,43.59106455,43.27868389,43.14431906,43.27693058,43.63517879,44.19058156,44.86959885,45.5997901,46.36848358,47.13924331,47.68535838,47.80521643
Africa Eastern and Southern,AFE,Age dependency ratio (% of working-age population),SP.POP.DPND,89.59460422,89.87336975,90.19172066,90.5746781,90.95271896,91.3468207,91.7855001,92.21196936,92.61739947,93.0188868,93.46296602,93.92254904,94.36424436,94.69069448,94.84871657,94.9673744,95.14856872,95.27689511,95.27054204,95.27671837,95.19040707,95.12577652,95.13439847,95.00671678,94.77135976,94.54826867,94.39110281,94.38067195,94.47929463,94.54703691,94.5801701,94.61259257,94.66883773,94.78601708,94.48348429,94.00770938,93.8898062,93.72747012,93.26833664,92.65396515,92.04473231,91.40245535,90.77139631,90.18845742,89.64810462,89.17604537,88.74835846,88.34580067,87.97459717,87.61959687,87.23845463,86.82306503,86.40776693,85.97619765,85.499396,84.95757135,84.43948766,83.93099925,83.34240615,82.69207604,81.9689799,81.19000414
Afghanistan,AFG,Age dependency ratio (% of working-age population),SP.POP.DPND,80.05111405,80.22234036,80.40194284,80.71531767,81.21955708,81.99481518,82.95472205,83.90807343,84.84414984,85.76082364,86.64480199,87.4931472,88.31357474,89.10825595,89.8921779,90.65687103,91.39637484,92.11993802,92.82450905,93.50762132,94.16497342,94.79133071,95.36895164,95.83013393,96.24427069,96.65471398,97.07749903,97.49192929,97.91601741,98.3606926,98.89048802,99.55700704,100.3021951,101.0721158,101.9883012,103.0284654,104.1438958,105.2886632,106.4190125,107.4724722,108.3466346,108.9898856,109.3471569,109.4475325,109.2868198,107.9646046,106.3261911,108.3381249,109.2403785,106.8457744,105.4334164,102.585972,99.30035987,97.12553365,94.7066971,93.04244766,92.01212492,90.54309411,89.09145113,87.64932155,85.9595496,84.59925702
Africa Western and Central,AFW,Age dependency ratio (% of working-age population),SP.POP.DPND,80.77178741,81.11263644,81.54033544,82.14241988,82.99828191,83.75833034,84.29758655,84.81127888,85.30226485,85.78586229,86.23415277,86.68317849,87.15722456,87.62621447,88.11227963,88.62823547,89.12143738,89.6002825,90.14442098,90.72913386,91.35581764,92.00643898,92.60908187,93.27377604,94.03153791,94.71610663,95.21280461,95.4840138,95.41142222,95.18961369,94.97923585,94.65957159,94.20722712,93.66719507,93.09939329,92.4843075,91.88801107,91.35947145,90.81314498,90.34740043,90.0511094,89.90287824,89.79983671,89.66466799,89.53321663,89.4676346,89.48198153,89.51298118,89.54484034,89.58035546,89.62187539,89.67642969,89.75080896,89.73951748,89.53320347,89.20948401,88.79488934,88.26898152,87.67696564,87.04130961,86.30692027,85.49545096
Angola,AGO,Age dependency ratio (% of working-age population),SP.POP.DPND,82.87131305,84.57935714,86.40867985,88.35439436,90.50989589,92.51689973,94.2515799,95.9013525,97.39762371,98.66073583,99.90431964,100.6477392,100.3154512,99.46856736,98.55777314,97.66224539,96.80679634,95.91174564,95.00121192,94.18881119,93.45487557,92.85551818,92.42985259,92.14731248,92.06874109,92.24046647,92.66277534,93.24542707,93.83097532,94.37297866,94.86309415,95.3621056,95.79931873,96.19552877,96.56333269,96.70439876,96.64826971,96.47590112,96.20362355,95.90987487,95.57541232,95.21815658,94.87001741,94.52198656,94.20350191,93.94766543,93.75989649,93.62821136,93.57642649,93.58134546,93.58657147,93.56431686,93.5445035,93.53572065,93.50197259,93.44741305,93.29058075,93.01348888,92.69857202,92.31355961,91.92596409,91.47394841
Albania,ALB,Age dependency ratio (% of working-age population),SP.POP.DPND,87.01279378,88.40275374,89.76365467,90.92142917,91.71390467,91.97831895,91.77477903,91.29591043,90.56302764,89.58642792,88.36267957,86.92041593,85.3296253,83.56657944,81.64746329,79.65913913,77.63146106,75.59758674,73.60585139,71.69432776,69.95338998,68.42196311,67.08301228,65.92377201,64.93394247,64.11795738,63.44769745,62.90985609,62.52035813,62.2514852,62.07845456,61.98040343,61.95790641,61.98629638,62.03875044,62.08260773,62.00832943,61.72196895,61.2050198,60.49745891,59.65729543,58.71361074,57.68699621,56.6215756,55.5027613,54.2993682,53.04836355,51.78424683,50.55867306,49.39659985,48.35270104,47.51405986,46.92299665,46.58644075,46.43443099,46.41311867,46.55289348,46.72300111,46.91493375,47.28039712,47.69663225,48.18322296
Andorra,AND,Age dependency ratio (% of working-age population),SP.POP.DPND,50.82255231,51.101908,51.395189,51.69144029,52.01245807,52.1709862,52.70341207,53.934891,54.95372891,55.17705442,54.70904417,53.83838384,52.70550465,51.42466944,50.14146313,48.951878,47.86734642,46.86565748,45.92124714,44.94587136,43.70460048,42.15381068,41.33435864,41.13868817,40.57521829,39.62582866,38.9295071,38.62584757,38.27346143,37.90626252,37.50096255,36.99923387,36.51811249,36.19514666,36.01256797,35.96940429,36.28657021,36.94450914,37.63354588,38.29092594,38.87966718,38.89287104,38.39046782,37.90491118,37.37299788,36.69303743,36.62079771,37.08874079,37.34537246,37.4432368,37.25674586,37.43962294,38.09847925,38.65208269,38.97081652,39.06689151,39.08883477,38.65842895,38.13092717,37.95832806,37.98792399,38.14059987
Arab World,ARB,Age dependency ratio (% of working-age population),SP.POP.DPND,88.91804326,89.81435503,90.58603383,91.30880204,91.94726048,92.51582005,93.02800463,93.42494017,93.64215306,93.74359841,93.8272929,93.89849464,93.97090695,94.00588948,93.90367663,93.93362603,94.09284167,93.93050828,93.52192742,93.0729219,92.58596472,92.0966612,91.6099761,91.1294615,90.6718554,90.21031363,89.7549301,89.29781489,88.76293152,88.12899186,87.54191319,86.61371861,85.54239082,84.41970844,83.18025271,81.82687296,80.38423167,78.85685452,77.30108226,75.75613625,74.24339394,72.79477088,71.42580279,70.13066793,68.9053576,67.6484121,66.24074494,64.79893445,63.65266918,62.80912495,62.25152467,62.06925981,62.11525975,62.32520363,62.58765687,62.73801763,62.70644873,62.56358131,62.36728813,62.13616425,62.01212619,61.83478639
United Arab Emirates,ARE,Age dependency ratio (% of working-age population),SP.POP.DPND,69.10003422,66.72145881,64.76238961,63.19498581,61.97955964,61.10812414,60.58441044,60.3733588,58.50358815,54.71767272,50.89448427,47.65939756,45.10328913,43.16897367,41.81721741,41.00725025,40.04072317,39.16750833,38.98917404,39.33328221,39.94107297,41.25462373,43.03704602,44.5575919,45.86714296,46.9235783,47.72819628,47.85494742,47.10290417,45.83942069,44.33115765,42.76098847,41.23730605,39.79260772,38.39264227,36.97745432,35.97117093,34.96955944,33.4107608,31.66770171,29.99221713,28.53881992,27.36291326,26.43479155,25.67723182,24.65282196,22.50968408,19.80626982,17.64343964,16.30290504,16.17201595,16.71669826,17.08294204,17.31575729,17.47588447,17.63574669,17.8641682,18.20935617,18.69302694,19.30784361,19.89683281,20.33903859
Argentina,ARG,Age dependency ratio (% of working-age population),SP.POP.DPND,56.9526055,56.9555486,56.9327283,56.90985644,56.9053237,56.90097805,56.87918972,56.85656521,56.83453179,56.83612102,56.90316797,57.05560776,57.26989748,57.59450677,58.07665245,58.66182931,59.33007238,60.05141531,60.7862416,61.51428622,62.2017962,62.81200294,63.3208127,63.73794294,64.06870205,64.30707206,64.4544916,64.51694166,64.49182147,64.37483069,64.2132714,64.03737082,63.81940469,63.55885248,63.28026027,62.97481024,62.62684916,62.24003681,61.84009857,61.46079497,61.08797249,60.68556529,60.25456027,59.78293524,59.30179889,58.83845816,58.37502844,57.90513656,57.43355954,56.99637149,56.62561261,56.35466688,56.19227832,56.08687236,55.97327624,55.86445924,55.75436212,55.6112391,55.40717362,55.13530886,54.76007816,54.27014839
